recipe_id,ingredient_full
40,"{'버섯': '1봉지', '마늘': '1줌', '양파': '1개', '꽈리고추': '1/2개', '간장': '2큰술', '굴': '1큰술', '요리당': '2큰술', '물': '4큰술', '참기름': '1큰술', '깨': '약간'}"
41,"{'두부': '1모', '부침가루': '약간', '식용유': '약간', '케첩': '3큰술', '올리고당': '2큰술', '설탕': '1큰술', '간장': '2큰술', '마늘': '1큰술'}"
42,{}
43,"{'메추리알': '1봉지', '햄/소시지': '2봉지', '꽈리고추': '1~3개', '고추장': '1~1.5T', '케첩': '4~5T', '진간장': '1~1.5T', '설탕': '2T', '물': '5~7T'}"
44,"{'두부': '1모', '마늘': '1Ts', '물': '3Ts', '게': '1Ts', '간장': '1Ts', '굴': '1/2Ts', '올리고당': '2Ts', '참기름': '1Ts', '깨': '1Ts'}"
45,"{'무': '보통사이즈 1개', '식초': '1.5컵', '설탕': '1컵', '소금': '1큰술'}"
46,"{'숙주': '250g 1봉지', '햄/소시지': '1/2~1주먹', '파': '1주먹', '청양 고추': '1개', '굴': '1/2~1T', '후추': '조금', '식용유': '1T', '참기름': '1t', '깨': '조금'}"
47,{}
48,"{'김': '20장', '물': '200ml', '간장': '10T', '올리고당': '5T', '마늘': '1T', '참기름': '5T'}"
49,"{'호박': '1대접', '양파': '1/4개', '마늘': '1숟가락', '참치': '작은거 1캔', '굴': '1숟가락', '소금': '조금'}"
50,"{'두부': '1모', '밀가루': '1/2종이컵', '진간장': '5T', '마늘': '1T', '올리고당': '2T', '물': '1소주컵'}"
51,"{'오이': '1개', '맛살': '5개', '굵은소금': '2스푼', '설탕': '2스푼', '식초': '2스푼', '연겨자': '1티스푼', '마요네즈': '3스푼', '깨': '조금'}"
52,"{'계란': '3개', '숙주': '1봉지 250g', '후추': '톡톡', '굴': '2T', '식용유': '4~5T', '참기름': '조금', '파': '생략가능 1/2T'}"
53,{}
54,"{'풋고추': '7~9개', '된장': '1큰술', '고추장': '1/3큰술', '마늘': '1/2큰술', '올리고당': '1/2큰술', '매실청': '1큰술', '참기름': '1/2큰술', '깨': '약간'}"
55,{}
56,{}
57,{}
58,"{'오이': '1개', '소고기_다짐육': '100g', '파': '1큰술', '마늘': '1/2큰술', '간장': '1큰술', '설탕': '1/2큰술', '생강': '1큰술', '배즙': '1큰술', '후춧가루': '적당량'}"
59,"{'황태': '70g', '고추장': '2T', '고추가루': '1T', '설탕': '1/2T', '마늘': '1T', '매실액': '1T', '술': '3T', '간장': '1/2T', '올리고당': '1T', '마요네즈': '1T', '깨': '1T'}"
60,"{'호박': '1/4개', '아몬드': '적당량', '잣': '적당량', '설탕': '1/2숟가락', '간장': '2숟가락', '청주': '2숟가락', '물': '1/2컵', '올리고당': '2숟가락'}"
61,"{'브로콜리': '1개', '양파': '1/2개', '깨': '1컵', '다시마물': '1컵', '들기름': '1T', '마늘': '1T', '액젓': '1/2T'}"
62,"{'두부': '1/2모', '부침가루': '1/2컵', '케찹': '3큰술', '설탕': '1큰술', '올리고당': '2큰술', '간장': '2큰술', '마늘': '1큰술'}"
63,"{'참치': '큰캔 250g 1개', '양파': '1컵', '진간장': '1/3컵', '마늘': '1T', '설탕': '1T', '깨': '1T', '참기름': '1T', '쌀/밥': '1공기', '마요네즈': '1T', '김': '약간', '꽈리고추': '약간'}"
64,"{'오이': '1개', '소금': '2꼬집', '깨': '1큰술', '참기름': '1/2큰술', '식초': '1큰술', '설탕': '1/2큰술'}"
65,"{'닭고기_안심': '5토막', '파': '1대', '마늘': '1/2큰술', '물': '200ml', '간장': '3큰술', '설탕': '1.5큰술', '후추': '톡톡', '맛술': '2큰술'}"
66,"{'참치': '150g 2캔', '당근': '1줌', '양파': '1/2개', '파': '1줌', '진간장': '2큰술', '설탕': '1큰술', '마늘': '1/2큰술', '고추가루': '1.5큰술'}"
67,"{'당면': '50g', '계란': '2개', '파': '1/2대', '당근': '조금', '기름': '적당량', '굴': '1티스푼', '후추': '톡톡'}"
68,"{'어묵': '4장', '배추': '2장', '당근': '조금', '파': '1개', '간장': '3T', '굴': '1T', '물엿': '3T', '참기름': '1T'}"
69,"{'버섯': '300g 2봉지', '게': '10줄', '계란': '6개', '감자': '3T', '소금': '1/2t', '후추': '1/4t'}"
70,"{'두부': '1/2모', '간장': '1', '굴': '1티스푼', '올리고당': '1큰술', '카놀라유': '조금'}"
71,"{'파': '2줌', '고추가루': '2숟가락', '식초': '5숟가락', '간장': '4숟가락', '설탕': '4숟가락', '참기름': '1숟가락', '양파': '1개', '물': '6숟가락'}"
72,"{'고추가루': '1스푼', '마늘': '1스푼', '참기름': '1스푼', '고추장': '1스푼', '매실청': '1스푼', '물엿': '1스푼', '식용유': '1스푼', '맛술': '1스푼', '새우': '1접시', '마요네즈': '선택사항 1스푼'}"
73,"{'무': '중간크기 1/2개', '진간장': '6스푼', '참기름': '약간', '마늘': '1/3스푼', '파': '1스푼', '설탕': '1/2스푼', '고추가루': '1스푼', '깨': '1/2스푼', '물': '1/2종이컵'}"
74,"{'베이컨': '180g', '버섯': '2봉지', '올리브유': '조금'}"
75,"{'버섯': '2개', '오일': '약간', '물': '5스푼', '고추장': '1스푼', '고추가루': '1티스푼', '참기름': '2티스푼', '간장': '2티스푼', '설탕': '2티스푼', '마늘': '1티스푼'}"
76,"{'청포묵': '320g', '파': '조금', '김': '조금', '맛소금': '1/2티스푼', '들기름': '1스푼', '깨': '1스푼'}"
77,"{'진미채': '1줌', '마요네즈': '1T', '간장': '3T', '설탕': '2T', '올리고당': '1T', '마늘': '1T', '참기름': '1T', '깨': '1T'}"
78,"{'두부': '1모', '양파': '1개', '계란': '1~2개', '마늘': '2T', '꽈리고추': '1~2개', '고추가루': '1T', '설탕': '1T', '참기름': '1T', '맛술': '1T', '간장': '4T', '파': '약간', '깨': '약간', '물': '1/2컵'}"
79,"{'파': '20줄기', '간장': '1.5T', '설탕': '1.5T', '식초': '1.5T', '고추가루': '2T', '참기름': '1T', '깨': '1/2T'}"
80,"{'어묵': '4장', '계란': '2개', '파': '1/2줄기', '마늘': '1/2T', '참기름': '1/2T', '맛소금': '3~4꼬집'}"
81,"{'두부': '1모', '감자': '3개', '양파': '1/2개', '파': '1/3뿌리', '진간장': '4숟가락', '물': '1컵', '마늘': '1숟가락', '고추가루': '2숟가락', '참기름': '약간', '식용유': '1숟가락'}"
82,"{'진간장': '1스푼', '멸치': '또는 1스푼', '올리고당': '2스푼', '참기름': '1스푼', '마늘': '1스푼', '물': '2스푼', '두부': '3스푼', '청경채': '10잎', '파': '1개', '꽈리고추': '1개', '전분가루': '3스푼', '파기름 식용유': '3스푼', '소금': '1꼬집', '후추': '1꼬집'}"
83,"{'계란': '4개', '맛살': '3개', '소금': '약간'}"
84,"{'무': '1/2개', '파': '1대', '꽃소금': '취향껏', '마늘': '1큰술', '깨': '3큰술', '참기름': '2큰술', '물': '220ml'}"
85,"{'미역': '200g 20g', '소금': '약간', '양파': '1/6개', '오이': '1/6개', '고추장': '2숟가락', '고추가루': '1숟가락', '양조간장': '1숟가락', '식초': '1숟가락', '매실액': '1숟가락', '설탕': '1숟가락', '마늘': '1숟가락', '깨': '1숟가락', '참기름': '1숟가락'}"
86,"{'진미채': '150g', '마요네즈': '1T', '간장': '1.5T', '굴': '1T', '맛술': '2T', '마늘': '0.5T', '설탕': '0.5T', '올리고당': '1T', '깨': '0.3T'}"
87,"{'계란': '3개', '부추': '1줌', '굴': '1큰술', '참기름': '1큰술', '식용유': '적당량'}"
88,"{'호박': '1개', '참치': '1캔', '파': '1큰술', '마늘': '1작은술', '소금': '1작은술', '간장': '1큰술'}"
89,"{'브로콜리': '280g 1개', '두부': '1/3모', '맛살': '2개 4개', '맛소금': '1/3큰술', '참기름': '2큰술', '깨': '적당량', '설탕': '1작은술'}"
90,"{'가지': '1개', '간장': '2Ts', '설탕': '1.5Ts', '식초': '1Ts', '마늘': '1/2Ts', '버터': '2Ts'}"
91,"{'배추': '3덩어리', '된장': '1큰술', '고추장': '1/2큰술', '참기름': '1/2큰술', '마늘': '1/2큰술', '깨': '1/2큰술', '설탕': '1/2작은술', '파 송송썰어': '1.5큰술'}"
92,"{'숙주': '270g', '베이컨': '220g', '마늘': '6개', '청경채': '3송이', '파': '1개', '참기름': '1스푼', '후추': '조금', '굴': '2스푼'}"
93,{}
94,"{'어묵': '2장 170g', '굴': '1/2큰술', '올리고당': '1큰술', '깨': '솔솔', '올리브유': '적당량'}"
95,"{'브로콜리': '3개', '참기름': '2T', '깨': '2T', '마늘': '1T', '고운 소금': '2/3T', '파': '3T'}"
96,{}
97,"{'시금치': '250g', '고추장': '1큰술', '들기름': '1.5스푼', '마늘': '1/2스푼', '파': '1스푼', '소금': '약간', '깨': '1/2스푼'}"
98,"{'버섯': '1봉지', '버터': '1/2스푼', '마늘': '1스푼', '파': '1주먹', '소금': '1꼬집'}"
99,"{'계란': '6개', '멸치': '또는 1.5컵', '파': '3T', '소금': '1/2~2/3T', '참기름': '2방울'}"
100,"{'버섯': '4송이', '메추리알': '270g', '올리고당': '2바퀴', '참기름': '1스푼', '깨': '적당히', '간장': '4큰술', '설탕': '1.5스푼', '미림': '2큰술', '마늘': '0.5스푼', '물': '1종이컵'}"
101,"{'감자': '250g 1개', '파': '약간', '소금': '1/2작은술', '물엿': '4큰술', '고추가루': '1큰술', '굴': '1/2큰술', '올리브유': '2큰술', '마늘': '1/2큰술', '물': '1/2컵', '깨': '약간'}"
102,"{'꽈리고추': '20개', '감자': '3개', '양파': '1/2개', '육수 다시마 육수': '1컵', '간장': '4스푼', '마늘': '0.5스푼', '설탕': '0.5스푼', '맛술': '1스푼', '올리고 당': '1스푼', '참기름': '0.5스푼', '깨': '0.5스푼'}"
