recipe_id,ingredient_full
34,"['마늘 40알', '식용유 2큰술', '물 3큰술', '간장 3큰술', '꿀 1.5큰술', '참기름 1/2큰술', '통깨 약간']"
35,"['감자 1개', '참치캔 1개', '양파 1개', '대파 1대', '청양고추 2개', '다시육수 2컵', '고추장 1큰술', '간장 2큰술', '고춧가루 1큰술', '다진마늘 1큰술', '자일로스설탕 0.5큰술', '후추 톡톡']"
36,"['꼬막 1kg', '굵은 소금 약간', '고춧가루 1/2큰술', '간장 3큰술', '참기름 1/2큰술', '생강즙 1/2큰술', '설탕 1/2작은술', '다진마늘 1/2작은술', '다진 홍고추 1/2큰술', '다진 부추 1큰술', '다진 양파 1큰술', '참깨 약간']"
37,"['시금치 1단', '두부 1/2모', '간장 2T', '참기름 1T', '깨소금 1T', '설탕 0.5T', '소금 0.5T']"
38,"['달래 1/2줌', '홍고추 1/2개', '구운김 적당량', '간장 10T', '참기름 1T', '깨 1T', '매실청 3T', '마늘 1/2T', '고추가루 1T']"
39,"['느타리버섯 200g', '표고버섯 4개', '쪽파 2대', '들깨가루 2Ts', '멸치액젓 1Ts', '비정제 황설탕 1/2ts', '들기름 2ts']"
40,"['미니새송이버섯 1봉지', '통마늘 1줌', '양파 1개', '청양고추 1/2개', '간장 2큰술', '굴소스 1큰술', '요리당 2큰술', '물 4큰술', '참기름 1큰술', '통깨 약간']"
41,"['두부 1모', '부침가루 약간', '식용유 약간', '케첩 3큰술', '올리고당 2큰술', '설탕 1큰술', '간장 2큰술', '다진마늘 1큰술']"
42,"['애호박 ', '고춧가루 1작은술', '양조간장 2/3큰술', '참기름 1작은술', '다진마늘 1작은술', '참깨 ', '다진파 ', '다진홍고추 ']"
43,"['메추리알 1봉지', '비엔나소세지 2봉지', '청양고추 13개', '고추장 11.5T', '케첩 45T', '진간장 11.5T', '설탕 2T', '물 57T']"
44,"['단단한 두부 1모', '다진 마늘 1Ts', '물 3Ts', '고추장 평평하게 깎아서 계량 1Ts', '간장 1Ts', '굴소스 1/2Ts', '올리고당 2Ts', '참기름 1Ts', '깨 1Ts']"
45,"['무 보통사이즈 1개', '식초 1.5컵', '설탕 1컵', '소금 1큰술']"
46,"['숙주 250g 1봉지', '채썬 햄 1/21주먹', '다진 파 1주먹', '청양 고추 1개', '굴소스 1/21T', '후추 조금', '식용유 1T', '참기름 1t', '깨 조금']"
