ingredient_full
"{'연두부': '1팩', '새우': '10-12마리', '달걀': '1개', '쪽파': '1-2줌', '다시마': '5cm x 5cm 1장', '간장': '1-1.5T'}"
"{'새우살': '200g', '양파': '1/2개', '애호박': '1/2개', '대파': '1대', '청양고추': '2개', '다시마': '3장', '멸치': '7~10개', '물': '1L', '된장': '1큰술', '다진마늘': '1큰술', '고춧가루': '2큰술', '액젓': '1큰술'}"
"{'채썬무': '1컵', '대파': '1줄', '물': '3컵', '들깨가루': '3큰술', '소금': '1/2큰술', '참기름': '1큰술'}"
"{'감자': '1개', '양파': '1/2개', '어묵': '100g', '대파': '15cm', '멸치육수': '7컵', '국간장': '1큰술', '다진마늘': '0.5큰술', '고춧가루': '약간', '소금': '약간', '후추': '약간'}"
"{'배추잎': '5~6장', '소고기국거리': '200g', '다진마늘': '1/2스푼', '파': '조금', '국간장': '1스푼', '맛술': '1스푼', '쌀뜨물': '3컵', '된장': '2스푼'}"
"{'콩나물': '150g', '다진마늘': '약간', '청양고추': '1/2개', '계란': '1개', '대파': '약간', '새우젓': '약간', '참깨': '약간', '고춧가루': '약간'}"
"{'물': '500ml', '연두부': '1팩', '달걀': '2알', '양파': '1/4개', '새우젓': '1t', '소금': '약간', '대파': '적당량', '다시마': '5cm x 5cm 1장', '멸치': '8-10마리'}"
"{'배춧잎': '5~7장', '어묵': '2장', '대파': '약간', '멸치다마육수': '5컵', '된장': '0.5T', '참치액': '2T', '고춧가루': '0.5T'}"
"{'볶음탕용닭': '한마리', '알배기배추': '1/2통', '대파': '1대', '양파': '1/2개', '통후추': '10알', '물': '1.8L', '참기름': '7큰술', '다진마늘': '1숟가락', '소금': '2~3큰술', '후추': '약간', '고춧가루': '3숟가락', '닭국물': '4숟가락', '국간장': '1숟가락'}"
"{'계란': '3개', '소금': '약간', '대파': '1/2대', '다진 김치': '1컵', '양파': '1/4개', '참기름': '1/2큰술', '두부': '200g', '다시마 육수': '3컵', '국간장': '1큰술', '후추': '약간'}"
"{'두부': '300g 1모', '대파': '1대', '다진마늘': '1큰술', '된장': '2큰술', '채썬표고': '1/2컵', '다시마 멸치육수': '5컵', '들깨가루': '4큰술'}"
"{'명란젓': '3개', '두부': '1/2모', '대파': '약간', '홍고추': '약간', '청양고추': '약간', '양파': '1/2개', '호박': '1/4개', '멸치다시마육수': '650ml', '소금': '약간', '소주': '1큰술'}"
"{'불린 미역': '1줌', '된장': '3큰술', '멸치육수': '6컵', '두부': '300g', '다진마늘': '1큰술', '팽이버섯': '1/2봉지'}"
"{'어묵': '4장', '무': '1밥그릇', '다진파': '2개', '청양고추': '1~2개', '다진마늘': '1T', '간장': '0.5T', '소금': '0.5T'}"
"{'돈까스': '2장', '썬 양파': '1/2개', '대파': '1/2대', '계란': '2개', '식용유': '약간', '물': '2.5컵', '다진마늘': '2T', '설탕': '1T', '고운고춧가루': '1T', '국간장': '2T', '김칫국물': '1/2컵'}"
"{'굴': '1.5컵', '배추': '8~10장', '양파 작은사이즈': '1/2개', '당근': '1/4개', '대파': '적당량', '청양고추': '1~2개', '참기름': '1스푼', '식용유': '1스푼', '물': '7~8컵', '소금': '약간', '다진마늘': '1스푼', '미림': '2스푼', '참치액': '4스푼', '후춧가루': '약간'}"
"{'달걀': '2개', '크래미': '3개', '새송이버섯': '2개', '양파': '1/3개', '대파': '1/2대', '당근': '1줌', '햄': '1줌', '간장': '2스푼', '굴': '소스 2스푼', '소금': '0.5스푼', '물': '1000ml~이상 5컵', '후춧가루': '적당량', '참기름': '1~2방울'}"
"{'사각어묵': '10장', '멸치 다시마 육수' : '2컵', '고추장': '2스푼', '다진 마늘': '1스푼', '고춧가루': '1스푼', '간장': '2스푼', '맛술': '2스푼', '올리고당': '1스푼', '후춧가루': '적당량'}"
